,equity
2021-04-14 02:08:00+00:00,99793.90656923002
2021-04-14 02:09:00+00:00,99793.90656923002
2021-04-14 02:10:00+00:00,99793.90656923002
2021-04-14 02:11:00+00:00,99793.90656923002
2021-04-14 02:12:00+00:00,99793.90656923002
2021-04-14 02:13:00+00:00,99793.90656923002
2021-04-14 02:14:00+00:00,99793.90656923002
2021-04-14 02:15:00+00:00,99793.90656923002
2021-04-14 02:16:00+00:00,99793.90656923002
2021-04-14 02:17:00+00:00,99793.90656923002
2021-04-14 02:18:00+00:00,99793.90656923002
2021-04-14 02:19:00+00:00,99793.90656923002
2021-04-14 02:20:00+00:00,99793.90656923002
2021-04-14 02:21:00+00:00,99793.90656923002
2021-04-14 02:22:00+00:00,99793.90656923002
2021-04-14 02:23:00+00:00,99793.90656923002
2021-04-14 02:24:00+00:00,99793.90656923002
2021-04-14 02:25:00+00:00,99793.90656923002
2021-04-14 02:26:00+00:00,99793.90656923002
2021-04-14 02:27:00+00:00,99793.90656923002
2021-04-14 02:28:00+00:00,99793.90656923002
2021-04-14 02:29:00+00:00,99793.90656923002
2021-04-14 02:30:00+00:00,99793.90656923002
2021-04-14 02:31:00+00:00,99793.90656923002
2021-04-14 02:32:00+00:00,99793.90656923002
2021-04-14 02:33:00+00:00,99793.90656923002
2021-04-14 02:34:00+00:00,99793.90656923002
2021-04-14 02:35:00+00:00,99793.90656923002
2021-04-14 02:36:00+00:00,99793.90656923002
2021-04-14 02:37:00+00:00,99793.90656923002
2021-04-14 02:38:00+00:00,99793.90656923002
2021-04-14 02:39:00+00:00,99793.90656923002
2021-04-14 02:40:00+00:00,99793.90656923002
2021-04-14 02:41:00+00:00,99793.90656923002
2021-04-14 02:42:00+00:00,99793.90656923002
2021-04-14 02:43:00+00:00,99793.90656923002
2021-04-14 02:44:00+00:00,99793.90656923002
2021-04-14 02:45:00+00:00,99793.90656923002
2021-04-14 02:46:00+00:00,99793.90656923002
2021-04-14 02:47:00+00:00,99793.90656923002
2021-04-14 02:48:00+00:00,99793.90656923002
2021-04-14 02:49:00+00:00,99793.90656923002
2021-04-14 02:50:00+00:00,99793.90656923002
2021-04-14 02:51:00+00:00,99793.90656923002
2021-04-14 02:52:00+00:00,99793.90656923002
2021-04-14 02:53:00+00:00,99793.90656923002
2021-04-14 02:54:00+00:00,99793.90656923002
2021-04-14 02:55:00+00:00,99793.90656923002
2021-04-14 02:56:00+00:00,99793.90656923002
2021-04-14 02:57:00+00:00,99793.90656923002
2021-04-14 02:58:00+00:00,99793.90656923002
2021-04-14 02:59:00+00:00,99793.90656923002
2021-04-14 03:00:00+00:00,99793.90656923002
2021-04-14 03:01:00+00:00,99793.90656923002
2021-04-14 03:02:00+00:00,99793.90656923002
2021-04-14 03:03:00+00:00,99793.90656923002
2021-04-14 03:04:00+00:00,99793.90656923002
2021-04-14 03:05:00+00:00,99793.90656923002
2021-04-14 03:06:00+00:00,99793.90656923002
2021-04-14 03:07:00+00:00,99793.90656923002
2021-04-14 03:08:00+00:00,99793.90656923002
2021-04-14 03:09:00+00:00,99793.90656923002
2021-04-14 03:10:00+00:00,99793.90656923002
2021-04-14 03:11:00+00:00,99793.90656923002
2021-04-14 03:12:00+00:00,99793.90656923002
2021-04-14 03:13:00+00:00,99793.90656923002
2021-04-14 03:14:00+00:00,99793.90656923002
2021-04-14 03:15:00+00:00,99793.90656923002
2021-04-14 03:16:00+00:00,99793.90656923002
2021-04-14 03:17:00+00:00,99793.90656923002
2021-04-14 03:18:00+00:00,99793.90656923002
2021-04-14 03:19:00+00:00,99793.90656923002
2021-04-14 03:20:00+00:00,99793.90656923002
2021-04-14 03:21:00+00:00,99793.90656923002
2021-04-14 03:22:00+00:00,99793.90656923002
2021-04-14 03:23:00+00:00,99793.90656923002
2021-04-14 03:24:00+00:00,99793.90656923002
2021-04-14 03:25:00+00:00,99793.90656923002
2021-04-14 03:26:00+00:00,99793.90656923002
2021-04-14 03:27:00+00:00,99793.90656923002
2021-04-14 03:28:00+00:00,99793.90656923002
2021-04-14 03:29:00+00:00,99793.90656923002
2021-04-14 03:30:00+00:00,99793.90656923002
2021-04-14 03:31:00+00:00,99793.90656923002
2021-04-14 03:32:00+00:00,99793.90656923002
2021-04-14 03:33:00+00:00,99793.90656923002
2021-04-14 03:34:00+00:00,99793.90656923002
2021-04-14 03:35:00+00:00,99793.90656923002
2021-04-14 03:36:00+00:00,99793.90656923002
2021-04-14 03:37:00+00:00,99793.90656923002
2021-04-14 03:38:00+00:00,99793.90656923002
2021-04-14 03:39:00+00:00,99793.90656923002
2021-04-14 03:40:00+00:00,99793.90656923002
2021-04-14 03:41:00+00:00,99793.90656923002
2021-04-14 03:42:00+00:00,99793.90656923002
2021-04-14 03:43:00+00:00,99793.90656923002
2021-04-14 03:44:00+00:00,99793.90656923002
2021-04-14 03:45:00+00:00,99793.90656923002
2021-04-14 03:46:00+00:00,99793.90656923002
2021-04-14 03:47:00+00:00,99793.90656923002
2021-04-14 03:48:00+00:00,99793.90656923002
2021-04-14 03:49:00+00:00,99793.90656923002
2021-04-14 03:50:00+00:00,99793.90656923002
2021-04-14 03:51:00+00:00,99793.90656923002
2021-04-14 03:52:00+00:00,99793.90656923002
2021-04-14 03:53:00+00:00,99793.90656923002
2021-04-14 03:54:00+00:00,99793.90656923002
2021-04-14 03:55:00+00:00,99793.90656923002
2021-04-14 03:56:00+00:00,99793.90656923002
2021-04-14 03:57:00+00:00,99793.90656923002
2021-04-14 03:58:00+00:00,99793.90656923002
2021-04-14 03:59:00+00:00,99793.90656923002
2021-04-14 04:00:00+00:00,99793.90656923002
2021-04-14 04:01:00+00:00,99793.90656923002
2021-04-14 04:02:00+00:00,99793.90656923002
2021-04-14 04:03:00+00:00,99793.90656923002
2021-04-14 04:04:00+00:00,99793.90656923002
2021-04-14 04:05:00+00:00,99793.90656923002
2021-04-14 04:06:00+00:00,99793.90656923002
2021-04-14 04:07:00+00:00,99793.90656923002
2021-04-14 04:08:00+00:00,99793.90656923002
2021-04-14 04:09:00+00:00,99793.90656923002
2021-04-14 04:10:00+00:00,99793.90656923002
2021-04-14 04:11:00+00:00,99793.90656923002
2021-04-14 04:12:00+00:00,99793.90656923002
2021-04-14 04:13:00+00:00,99793.90656923002
2021-04-14 04:14:00+00:00,99793.90656923002
2021-04-14 04:15:00+00:00,99793.90656923002
2021-04-14 04:16:00+00:00,99793.90656923002
2021-04-14 04:17:00+00:00,99793.90656923002
2021-04-14 04:18:00+00:00,99793.90656923002
2021-04-14 04:19:00+00:00,99793.90656923002
2021-04-14 04:20:00+00:00,99793.90656923002
2021-04-14 04:21:00+00:00,99793.90656923002
2021-04-14 04:22:00+00:00,99793.90656923002
2021-04-14 04:23:00+00:00,99793.90656923002
2021-04-14 04:24:00+00:00,99793.90656923002
2021-04-14 04:25:00+00:00,99793.90656923002
2021-04-14 04:26:00+00:00,99793.90656923002
2021-04-14 04:27:00+00:00,99793.90656923002
2021-04-14 04:28:00+00:00,99793.90656923002
2021-04-14 04:29:00+00:00,99793.90656923002
2021-04-14 04:30:00+00:00,99793.90656923002
2021-04-14 04:31:00+00:00,99793.90656923002
2021-04-14 04:32:00+00:00,99793.90656923002
2021-04-14 04:33:00+00:00,99793.90656923002
2021-04-14 04:34:00+00:00,99793.90656923002
2021-04-14 04:35:00+00:00,99793.90656923002
2021-04-14 04:36:00+00:00,99793.90656923002
2021-04-14 04:37:00+00:00,99793.90656923002
2021-04-14 04:38:00+00:00,99793.90656923002
2021-04-14 04:39:00+00:00,99793.90656923002
2021-04-14 04:40:00+00:00,99793.90656923002
2021-04-14 04:41:00+00:00,99793.90656923002
2021-04-14 04:42:00+00:00,99793.90656923002
2021-04-14 04:43:00+00:00,99793.90656923002
2021-04-14 04:44:00+00:00,99793.90656923002
2021-04-14 04:45:00+00:00,99793.90656923002
2021-04-14 04:46:00+00:00,99793.90656923002
2021-04-14 04:47:00+00:00,99793.90656923002
2021-04-14 04:48:00+00:00,99793.90656923002
2021-04-14 04:49:00+00:00,99793.90656923002
2021-04-14 04:50:00+00:00,99793.90656923002
2021-04-14 04:51:00+00:00,99793.90656923002
2021-04-14 04:52:00+00:00,99793.90656923002
2021-04-14 04:53:00+00:00,99793.90656923002
2021-04-14 04:54:00+00:00,99793.90656923002
2021-04-14 04:55:00+00:00,99793.90656923002
2021-04-14 04:56:00+00:00,99793.90656923002
2021-04-14 04:57:00+00:00,99793.90656923002
2021-04-14 04:58:00+00:00,99793.90656923002
2021-04-14 04:59:00+00:00,99793.90656923002
2021-04-14 05:00:00+00:00,99793.90656923002
2021-04-14 05:01:00+00:00,99793.90656923002
2021-04-14 05:02:00+00:00,99793.90656923002
2021-04-14 05:03:00+00:00,99793.90656923002
2021-04-14 05:04:00+00:00,99793.90656923002
2021-04-14 05:05:00+00:00,99793.90656923002
2021-04-14 05:06:00+00:00,99793.90656923002
2021-04-14 05:07:00+00:00,99793.90656923002
2021-04-14 05:08:00+00:00,99793.90656923002
2021-04-14 05:09:00+00:00,99793.90656923002
2021-04-14 05:10:00+00:00,99793.90656923002
2021-04-14 05:11:00+00:00,99793.90656923002
2021-04-14 05:12:00+00:00,99793.90656923002
2021-04-14 05:13:00+00:00,99793.90656923002
2021-04-14 05:14:00+00:00,99793.90656923002
2021-04-14 05:15:00+00:00,99793.90656923002
2021-04-14 05:16:00+00:00,99793.90656923002
2021-04-14 05:17:00+00:00,99793.90656923002
2021-04-14 05:18:00+00:00,99793.90656923002
2021-04-14 05:19:00+00:00,99793.90656923002
2021-04-14 05:20:00+00:00,99793.90656923002
2021-04-14 05:21:00+00:00,99793.90656923002
2021-04-14 05:22:00+00:00,99793.90656923002
2021-04-14 05:23:00+00:00,99793.90656923002
2021-04-14 05:24:00+00:00,99793.90656923002
2021-04-14 05:25:00+00:00,99793.90656923002
2021-04-14 05:26:00+00:00,99793.90656923002
2021-04-14 05:27:00+00:00,99793.90656923002
2021-04-14 05:28:00+00:00,99793.90656923002
2021-04-14 05:29:00+00:00,99793.90656923002
2021-04-14 05:30:00+00:00,99793.90656923002
2021-04-14 05:31:00+00:00,99793.90656923002
2021-04-14 05:32:00+00:00,99793.90656923002
2021-04-14 05:33:00+00:00,99793.90656923002
2021-04-14 05:34:00+00:00,99793.90656923002
2021-04-14 05:35:00+00:00,99793.90656923002
2021-04-14 05:36:00+00:00,99793.90656923002
2021-04-14 05:37:00+00:00,99793.90656923002
2021-04-14 05:38:00+00:00,99793.90656923002
2021-04-14 05:39:00+00:00,99793.90656923002
2021-04-14 05:40:00+00:00,99793.90656923002
2021-04-14 05:41:00+00:00,99793.90656923002
2021-04-14 05:42:00+00:00,99793.90656923002
2021-04-14 05:43:00+00:00,99793.90656923002
2021-04-14 05:44:00+00:00,99793.90656923002
2021-04-14 05:45:00+00:00,99793.90656923002
2021-04-14 05:46:00+00:00,99793.90656923002
2021-04-14 05:47:00+00:00,99793.90656923002
2021-04-14 05:48:00+00:00,99793.90656923002
2021-04-14 05:49:00+00:00,99793.90656923002
2021-04-14 05:50:00+00:00,99793.90656923002
2021-04-14 05:51:00+00:00,99793.90656923002
2021-04-14 05:52:00+00:00,99793.90656923002
2021-04-14 05:53:00+00:00,99793.90656923002
2021-04-14 05:54:00+00:00,99793.90656923002
2021-04-14 05:55:00+00:00,99793.90656923002
2021-04-14 05:56:00+00:00,99793.90656923002
2021-04-14 05:57:00+00:00,99793.90656923002
2021-04-14 05:58:00+00:00,99793.90656923002
2021-04-14 05:59:00+00:00,99793.90656923002
2021-04-14 06:00:00+00:00,99793.90656923002
2021-04-14 06:01:00+00:00,99793.90656923002
2021-04-14 06:02:00+00:00,99793.90656923002
2021-04-14 06:03:00+00:00,99793.90656923002
2021-04-14 06:04:00+00:00,99793.90656923002
2021-04-14 06:05:00+00:00,99793.90656923002
2021-04-14 06:06:00+00:00,99793.90656923002
2021-04-14 06:07:00+00:00,99793.90656923002
2021-04-14 06:08:00+00:00,99793.90656923002
2021-04-14 06:09:00+00:00,99793.90656923002
2021-04-14 06:10:00+00:00,99793.90656923002
2021-04-14 06:11:00+00:00,99793.90656923002
2021-04-14 06:12:00+00:00,99793.90656923002
2021-04-14 06:13:00+00:00,99793.90656923002
2021-04-14 06:14:00+00:00,99793.90656923002
2021-04-14 06:15:00+00:00,99793.90656923002
2021-04-14 06:16:00+00:00,99793.90656923002
2021-04-14 06:17:00+00:00,99793.90656923002
2021-04-14 06:18:00+00:00,99793.90656923002
2021-04-14 06:19:00+00:00,99793.90656923002
2021-04-14 06:20:00+00:00,99793.90656923002
2021-04-14 06:21:00+00:00,99793.90656923002
2021-04-14 06:22:00+00:00,99793.90656923002
2021-04-14 06:23:00+00:00,99793.90656923002
2021-04-14 06:24:00+00:00,99793.90656923002
2021-04-14 06:25:00+00:00,99793.90656923002
2021-04-14 06:26:00+00:00,99793.90656923002
2021-04-14 06:27:00+00:00,99793.90656923002
2021-04-14 06:28:00+00:00,99793.90656923002
2021-04-14 06:29:00+00:00,99793.90656923002
2021-04-14 06:30:00+00:00,99793.90656923002
2021-04-14 06:31:00+00:00,99793.90656923002
2021-04-14 06:32:00+00:00,99793.90656923002
2021-04-14 06:33:00+00:00,99793.90656923002
2021-04-14 06:34:00+00:00,99793.90656923002
2021-04-14 06:35:00+00:00,99793.90656923002
2021-04-14 06:36:00+00:00,99793.90656923002
2021-04-14 06:37:00+00:00,99793.90656923002
2021-04-14 06:38:00+00:00,99793.90656923002
2021-04-14 06:39:00+00:00,99793.90656923002
2021-04-14 06:40:00+00:00,99793.90656923002
2021-04-14 06:41:00+00:00,99793.90656923002
2021-04-14 06:42:00+00:00,99793.90656923002
2021-04-14 06:43:00+00:00,99793.90656923002
2021-04-14 06:44:00+00:00,99793.90656923002
2021-04-14 06:45:00+00:00,99793.90656923002
2021-04-14 06:46:00+00:00,99793.90656923002
2021-04-14 06:47:00+00:00,99793.90656923002
2021-04-14 06:48:00+00:00,99793.90656923002
2021-04-14 06:49:00+00:00,99793.90656923002
2021-04-14 06:50:00+00:00,99793.90656923002
2021-04-14 06:51:00+00:00,99793.90656923002
2021-04-14 06:52:00+00:00,99793.90656923002
2021-04-14 06:53:00+00:00,99793.90656923002
2021-04-14 06:54:00+00:00,99793.90656923002
2021-04-14 06:55:00+00:00,99793.90656923002
2021-04-14 06:56:00+00:00,99793.90656923002
2021-04-14 06:57:00+00:00,99793.90656923002
2021-04-14 06:58:00+00:00,99793.90656923002
2021-04-14 06:59:00+00:00,99793.90656923002
2021-04-14 07:00:00+00:00,99793.90656923002
2021-04-14 07:01:00+00:00,99783.75973858417
2021-04-14 07:02:00+00:00,99777.54607089973
2021-04-14 07:03:00+00:00,99777.01520687419
2021-04-14 07:04:00+00:00,99775.6371064275
2021-04-14 07:05:00+00:00,99771.29719088195
2021-04-14 07:06:00+00:00,99769.37080437993
2021-04-14 07:07:00+00:00,99768.15813070415
2021-04-14 07:08:00+00:00,99771.55032109276
2021-04-14 07:09:00+00:00,99773.53518407236
2021-04-14 07:10:00+00:00,99774.23309953892
2021-04-14 07:11:00+00:00,99779.05223145903
2021-04-14 07:12:00+00:00,99784.3236584724
2021-04-14 07:13:00+00:00,99792.69287306885
2021-04-14 07:14:00+00:00,99794.86262137203
2021-04-14 07:15:00+00:00,99796.53172314758
2021-04-14 07:16:00+00:00,99797.60432816086
2021-04-14 07:17:00+00:00,99800.15279747859
2021-04-14 07:18:00+00:00,99799.99165616558
2021-04-14 07:19:00+00:00,99796.44294678296
2021-04-14 07:20:00+00:00,99799.12237849219
2021-04-14 07:21:00+00:00,99804.75422503988
2021-04-14 07:22:00+00:00,99805.13325958012
2021-04-14 07:23:00+00:00,99808.47224026373
2021-04-14 07:24:00+00:00,99811.78003469497
2021-04-14 07:25:00+00:00,99810.00971824546
2021-04-14 07:26:00+00:00,99805.92452910935
2021-04-14 07:27:00+00:00,99794.83216586726
2021-04-14 07:28:00+00:00,99792.96019364825
2021-04-14 07:29:00+00:00,99791.93829083603
2021-04-14 07:30:00+00:00,99789.68486466755
2021-04-14 07:31:00+00:00,99789.42575279405
2021-04-14 07:32:00+00:00,99790.83942177583
2021-04-14 07:33:00+00:00,99793.24245676066
2021-04-14 07:34:00+00:00,99790.7749002225
2021-04-14 07:35:00+00:00,99786.33792281509
2021-04-14 07:36:00+00:00,99786.0489731948
2021-04-14 07:37:00+00:00,99778.90590519823
2021-04-14 07:38:00+00:00,99769.17758641498
2021-04-14 07:39:00+00:00,99764.19116073659
2021-04-14 07:40:00+00:00,99761.59843391752
2021-04-14 07:41:00+00:00,99762.86357886615
2021-04-14 07:42:00+00:00,99757.56931501967
2021-04-14 07:43:00+00:00,99754.72351687813
2021-04-14 07:44:00+00:00,99757.64126306653
2021-04-14 07:45:00+00:00,99752.79353897407
2021-04-14 07:46:00+00:00,99755.09882895208
2021-04-14 07:47:00+00:00,99757.25246377602
2021-04-14 07:48:00+00:00,99760.87716231041
2021-04-14 07:49:00+00:00,99765.99108787364
2021-04-14 07:50:00+00:00,99770.28966437484
2021-04-14 07:51:00+00:00,99768.72399410981
2021-04-14 07:52:00+00:00,99774.56687708687
2021-04-14 07:53:00+00:00,99775.9483666639
2021-04-14 07:54:00+00:00,99782.76838567274
2021-04-14 07:55:00+00:00,99781.82800641033
2021-04-14 07:56:00+00:00,99783.19007805946
2021-04-14 07:57:00+00:00,99778.50186339133
2021-04-14 07:58:00+00:00,99775.81610015266
2021-04-14 07:59:00+00:00,99777.65012336597
2021-04-14 08:00:00+00:00,99774.31668554581
2021-04-14 08:01:00+00:00,99770.92431719595
2021-04-14 08:02:00+00:00,99772.99754334183
2021-04-14 08:03:00+00:00,99771.09461150903
2021-04-14 08:04:00+00:00,99768.7773910045
2021-04-14 08:05:00+00:00,99768.58795162043
2021-04-14 08:06:00+00:00,99767.45841572639
2021-04-14 08:07:00+00:00,99771.76873177534
2021-04-14 08:08:00+00:00,99768.7199269637
2021-04-14 08:09:00+00:00,99771.61670666713
2021-04-14 08:10:00+00:00,99774.9279222074
2021-04-14 08:11:00+00:00,99777.64208371942
2021-04-14 08:12:00+00:00,99775.60584890207
2021-04-14 08:13:00+00:00,99771.01880718251
2021-04-14 08:14:00+00:00,99773.520042361
2021-04-14 08:15:00+00:00,99774.51177121197
2021-04-14 08:16:00+00:00,99775.94939256451
2021-04-14 08:17:00+00:00,99774.54738063892
2021-04-14 08:18:00+00:00,99775.55849581856
2021-04-14 08:19:00+00:00,99777.21321898735
2021-04-14 08:20:00+00:00,99778.77554200952
2021-04-14 08:21:00+00:00,99780.52127155964
2021-04-14 08:22:00+00:00,99779.05277699803
2021-04-14 08:23:00+00:00,99777.82385971668
2021-04-14 08:24:00+00:00,99780.01326162647
2021-04-14 08:25:00+00:00,99775.38562782039
2021-04-14 08:26:00+00:00,99775.84597348125
2021-04-14 08:27:00+00:00,99777.03875241098
2021-04-14 08:28:00+00:00,99777.25973396376
2021-04-14 08:29:00+00:00,99778.67549277596
2021-04-14 08:30:00+00:00,99781.8714545925
2021-04-14 08:31:00+00:00,99789.68569055818
2021-04-14 08:32:00+00:00,99798.73350744249
2021-04-14 08:33:00+00:00,99811.4501053501
2021-04-14 08:34:00+00:00,99816.90335411619
2021-04-14 08:35:00+00:00,99818.20164724025
2021-04-14 08:36:00+00:00,99818.62112433142
2021-04-14 08:37:00+00:00,99822.90616672531
2021-04-14 08:38:00+00:00,99823.9745440639
2021-04-14 08:39:00+00:00,99822.5171105348
2021-04-14 08:40:00+00:00,99821.0765261785
2021-04-14 08:41:00+00:00,99820.40067751419
2021-04-14 08:42:00+00:00,99820.15666941274
2021-04-14 08:43:00+00:00,99818.9919379335
2021-04-14 08:44:00+00:00,99820.09381301637
2021-04-14 08:45:00+00:00,99821.49444979429
2021-04-14 08:46:00+00:00,99820.23520917245
2021-04-14 08:47:00+00:00,99824.05720037998
2021-04-14 08:48:00+00:00,99827.08386255111
2021-04-14 08:49:00+00:00,99828.88440665964
2021-04-14 08:50:00+00:00,99831.20355931477
2021-04-14 08:51:00+00:00,99830.43905964364
2021-04-14 08:52:00+00:00,99830.98874141996
2021-04-14 08:53:00+00:00,99826.25772753761
2021-04-14 08:54:00+00:00,99829.74974737925
2021-04-14 08:55:00+00:00,99826.03077702693
2021-04-14 08:56:00+00:00,99822.43475060366
2021-04-14 08:57:00+00:00,99824.19601821098
2021-04-14 08:58:00+00:00,99827.12100339642
2021-04-14 08:59:00+00:00,99827.83744178116
2021-04-14 09:00:00+00:00,99835.15396296339
2021-04-14 09:01:00+00:00,99838.6103926515
2021-04-14 09:02:00+00:00,99836.26570315872
2021-04-14 09:03:00+00:00,99836.71500199071
2021-04-14 09:04:00+00:00,99838.84754867062
2021-04-14 09:05:00+00:00,99831.60747784493
2021-04-14 09:06:00+00:00,99832.79436784748
2021-04-14 09:07:00+00:00,99833.44422516982
2021-04-14 09:08:00+00:00,99831.39444254298
2021-04-14 09:09:00+00:00,99832.24278502839
2021-04-14 09:10:00+00:00,99835.83075770266
2021-04-14 09:11:00+00:00,99837.17822268668
2021-04-14 09:12:00+00:00,99837.69565543516
2021-04-14 09:13:00+00:00,99837.62212360481
2021-04-14 09:14:00+00:00,99836.24650494101
2021-04-14 09:15:00+00:00,99839.42439604989
2021-04-14 09:16:00+00:00,99835.8122449102
2021-04-14 09:17:00+00:00,99837.67805298258
2021-04-14 09:18:00+00:00,99835.4136901673
2021-04-14 09:19:00+00:00,99833.68258977271
2021-04-14 09:20:00+00:00,99831.28267941208
2021-04-14 09:21:00+00:00,99833.15532296091
2021-04-14 09:22:00+00:00,99834.04294114132
2021-04-14 09:23:00+00:00,99834.4490200663
2021-04-14 09:24:00+00:00,99834.97977629698
2021-04-14 09:25:00+00:00,99828.71957513777
2021-04-14 09:26:00+00:00,99829.98789541374
2021-04-14 09:27:00+00:00,99835.34667357625
2021-04-14 09:28:00+00:00,99836.07299250519
2021-04-14 09:29:00+00:00,99842.8042431014
2021-04-14 09:30:00+00:00,99842.08585176412
2021-04-14 09:31:00+00:00,99844.63156311771
2021-04-14 09:32:00+00:00,99843.26394073614
2021-04-14 09:33:00+00:00,99844.81799736092
2021-04-14 09:34:00+00:00,99846.2494638191
2021-04-14 09:35:00+00:00,99842.14239156092
2021-04-14 09:36:00+00:00,99840.2776525592
2021-04-14 09:37:00+00:00,99832.94618837295
2021-04-14 09:38:00+00:00,99834.16011248495
2021-04-14 09:39:00+00:00,99840.11660101067
2021-04-14 09:40:00+00:00,99842.59326977046
2021-04-14 09:41:00+00:00,99841.2344195873
2021-04-14 09:42:00+00:00,99841.94389812155
